KEY 	 READ1_START 	 READ1_END 	 READ1_OVL_LEN 	 READ1_START 	 READ1_END 	 READ1_OVL_LEN 	 MATCHES 	 INSERTIONS 	 DELETIONS 
seq2_83-seq6_9	7182	9051	1869	3	1888	1885	1761	108	124
seq2_83-seq2_92	572	2931	2359	7	2014	2007	1894	465	113
seq2_84-seq4_74	3	755	752	1421	2165	744	701	51	43
seq2_85-seq3_49	3230	4849	1619	3	1632	1629	1521	98	108
seq2_85-seq3_46	9423	10242	819	2	803	801	769	50	32
seq2_86-seq3_34	7092	13262	6170	2	6205	6203	5801	369	402
seq2_87-seq5_38	1	2000	1999	2905	4880	1975	1859	140	116
seq2_89-seq8_94	19	11529	11510	7769	19238	11469	10780	730	689
seq2_89-seq4_51	2	1305	1303	1186	2489	1303	1224	79	79
seq2_89-seq5_59	15004	16789	1785	0	1762	1762	1633	152	129
seq2_91-seq9_77	3519	7772	4253	11	4207	4196	3954	299	242
seq2_92-seq5_31	3	1258	1255	947	2213	1266	1198	57	68
seq2_92-seq6_83	11	1261	1250	7123	8368	1245	1171	79	74
seq2_93-seq4_75	25398	30064	4666	10	4621	4611	4366	300	245
seq2_94-seq9_24	14529	19672	5143	33	5155	5122	4797	346	325
seq2_95-seq4_98	10782	30671	19889	2	19918	19916	18710	1179	1206
seq2_95-seq5_82	1	6651	6650	4035	10665	6630	6243	407	387
seq2_96-seq7_92	1	25656	25655	3720	29555	25835	24105	1550	1730
seq2_96-seq8_4	19941	21832	1891	16	1911	1895	1769	122	126
seq2_97-seq2_98	4127	29530	25403	6	25339	25333	23937	1466	1396
seq2_97-seq5_48	11083	19540	8457	3	8476	8473	7967	490	506
seq2_97-seq4_38	3	3388	3385	3962	7549	3587	3197	188	390
seq2_97-seq7_71	4	911	907	11855	12760	905	855	52	50
seq2_98-seq5_48	6938	15345	8407	35	8475	8440	7934	473	506
seq2_98-seq7_11	29813	32014	2201	7	2236	2229	2080	121	149
origSeq_4-seq3_78	1	2732	2731	5027	7737	2710	2574	157	136
origSeq_5-seq6_34	4	2626	2622	3589	6241	2652	2464	158	188
origSeq_6-seq3_25	1	558	557	1055	1624	569	530	27	39
origSeq_10-seq4_38	1	745	744	4089	4810	721	684	60	37
origSeq_10-seq2_97	1	745	744	129	859	730	696	48	34
origSeq_12-seq7_66	2626	4392	1766	14	1764	1750	1660	106	90
origSeq_13-seq10_66	0	2347	2347	3540	5858	2318	2173	174	145
origSeq_14-seq6_75	1	3729	3728	4512	8260	3748	3511	217	237
origSeq_14-seq4_49	1	697	696	3828	4528	700	651	45	49
origSeq_17-seq1_81	0	2433	2433	280	2698	2418	2282	151	136
origSeq_17-seq5_66	6	2433	2427	1104	3533	2429	2256	171	173
origSeq_17-seq5_63	0	526	526	9389	9901	512	483	43	29
origSeq_18-seq10_78	7	2066	2059	6696	8716	2020	1917	142	103
origSeq_19-seq4_96	17	1608	1591	242	1859	1617	1508	83	109
origSeq_22-seq9_50	2976	4290	1314	778	2097	1319	1232	82	87
origSeq_23-seq2_41	3	3893	3890	2059	5959	3900	3680	210	220
origSeq_23-seq2_72	2470	4675	2205	4	2224	2220	2074	131	146
origSeq_24-seq2_50	1	2806	2805	2405	5176	2771	2642	163	129
origSeq_25-origSeq_55	0	1324	1324	5853	7166	1313	1250	74	63
origSeq_26-seq1_89	5	3279	3274	12694	15957	3263	3081	193	182
origSeq_27-seq7_88	2	6940	6938	13262	20238	6976	6558	380	418
origSeq_28-seq3_18	1	1785	1784	2356	4130	1774	1679	105	95
origSeq_32-seq4_26	740	3401	2661	9	2625	2616	2465	196	151
origSeq_32-seq10_84	3134	4570	1436	15	1466	1451	1354	82	97
origSeq_33-seq7_78	1	4139	4138	7290	11474	4184	3890	248	294
origSeq_33-seq1_24	7	1637	1630	1882	3504	1622	1544	86	78
origSeq_34-seq1_30	3882	5366	1484	37	1503	1466	1392	92	74
origSeq_35-seq5_2	884	3596	2712	3	2681	2678	2540	172	138
origSeq_35-origSeq_50	2903	4621	1718	2	1714	1712	1625	93	87
origSeq_36-origSeq_85	1	2938	2937	7832	10767	2935	2776	161	159
origSeq_36-seq7_82	4	2966	2962	14827	17771	2944	2785	177	159
origSeq_37-seq6_91	10	865	855	14561	15435	874	825	30	49
origSeq_38-seq6_81	6040	7680	1640	5	1621	1616	1534	106	82
origSeq_38-seq10_71	6465	7680	1215	0	1216	1216	1157	58	59
origSeq_39-seq2_83	7	5131	5124	10194	15311	5117	4799	325	318
origSeq_41-seq6_24	2919	7385	4466	1	4532	4531	4221	245	310
origSeq_41-seq7_46	5032	7385	2353	13	2432	2419	2228	125	191
origSeq_42-seq4_34	1895	5464	3569	7	3590	3583	3396	173	187
origSeq_45-origSeq_47	12	6075	6063	2696	8812	6116	5735	328	381
origSeq_45-seq5_49	6	2297	2291	3386	5636	2250	2120	171	130
origSeq_46-seq10_62	1623	7268	5645	1	5658	5657	5324	321	333
origSeq_46-seq8_80	14	3870	3856	5507	9362	3855	3616	240	239
origSeq_46-seq2_37	12	1483	1471	1862	3327	1465	1370	101	95
origSeq_47-seq5_49	1	4986	4985	722	5636	4914	4617	368	297
origSeq_47-seq3_19	9817	11211	1394	1	1400	1399	1322	72	77
origSeq_47-seq4_24	10263	11211	948	0	928	928	873	75	55
origSeq_49-seq9_16	622	4202	3580	2	3586	3584	3356	224	228
origSeq_49-origSeq_67	6166	7373	1207	6	1204	1198	1136	71	62
origSeq_49-seq6_83	7572	8890	1318	49	1355	1306	1235	83	71
origSeq_50-seq5_2	0	684	684	2009	2687	678	641	43	37
origSeq_52-seq5_92	1	4147	4146	2106	6292	4186	3925	221	261
origSeq_52-seq2_32	3426	4154	728	9	753	744	687	41	57
origSeq_53-seq5_98	20	2305	2285	9147	11466	2319	2170	115	149
origSeq_53-seq7_10	572	1471	899	4	913	909	852	47	57
origSeq_54-seq8_28	9	5109	5100	2720	7845	5125	4762	338	363
origSeq_54-seq7_85	1	3569	3568	18509	22123	3614	3355	213	259
origSeq_54-seq6_34	2665	5117	2452	2	2472	2470	2299	153	171
origSeq_56-seq4_93	827	3442	2615	6655	9288	2633	2460	155	173
origSeq_57-origSeq_98	3	5310	5307	10869	16210	5341	5029	278	312
origSeq_58-seq7_60	3052	9554	6502	3	6512	6509	6085	417	424
origSeq_58-seq5_89	1	2559	2558	9485	12078	2593	2426	132	167
origSeq_58-seq6_73	28	2419	2391	14796	17168	2372	2230	161	142
origSeq_60-seq7_45	9	2034	2025	167	2192	2025	1905	120	120
origSeq_61-seq6_88	93	8249	8156	1	8106	8105	7641	515	464
origSeq_63-seq7_67	0	9296	9296	1816	11129	9313	8733	563	580
origSeq_63-seq6_90	0	8229	8229	14764	22987	8223	7716	513	507
origSeq_63-seq3_69	8086	11980	3894	7	3867	3860	3628	266	232
origSeq_63-seq9_80	9673	11980	2307	0	2266	2266	2142	165	124
origSeq_64-seq5_57	5455	9705	4250	3	4223	4220	3966	284	254
origSeq_64-seq9_52	4	3223	3219	2058	5284	3226	3053	166	173
origSeq_66-seq4_67	13	1411	1398	4098	5511	1413	1326	72	87
origSeq_66-seq4_40	17	1753	1736	1873	3621	1748	1621	115	127
origSeq_68-seq5_55	2	372	370	800	1162	362	340	30	22
origSeq_69-seq3_24	10587	13869	3282	2	3273	3271	3094	188	177
origSeq_71-seq8_34	0	5950	5950	2018	8141	6123	5579	371	544
origSeq_71-seq2_62	0	3129	3129	11083	14381	3298	2960	169	338
origSeq_71-seq6_89	4	3743	3739	7202	10974	3772	3382	357	390
origSeq_72-seq5_8	7	1816	1809	17	1819	1802	1696	113	106
origSeq_73-seq9_27	2400	5221	2821	3	2837	2834	2640	181	194
origSeq_74-seq2_98	3	10415	10412	20707	31084	10377	9769	643	608
origSeq_74-seq2_97	1	4575	4574	24902	29479	4577	4327	247	250
origSeq_74-seq7_11	9131	10379	1248	3	1275	1272	1176	72	96
origSeq_75-seq1_55	1831	6013	4182	5	4389	4384	3958	224	426
origSeq_75-seq8_74	1059	6013	4954	4	5129	5125	4645	309	480
origSeq_75-seq3_74	4044	6001	1957	153	2107	1954	1855	102	99
origSeq_75-seq5_26	4	1337	1333	3190	4525	1335	1267	66	68
origSeq_76-seq6_49	6	7715	7709	1700	9372	7672	7253	456	419
origSeq_78-seq5_79	4	6520	6516	3861	10351	6490	6093	423	397
origSeq_78-seq7_76	2	4917	4915	5566	10467	4901	4597	318	304
origSeq_79-seq2_23	9	1930	1921	535	2437	1902	1799	122	103
origSeq_80-seq2_86	4	4058	4054	3563	7577	4014	3789	265	225
origSeq_80-seq3_34	3592	4047	455	12	473	461	432	23	29
origSeq_82-seq6_81	1	5411	5410	5858	11248	5390	5060	350	330
origSeq_82-seq7_15	2894	6648	3754	1	3713	3712	3498	256	214
origSeq_82-seq8_16	1	2695	2694	2038	4721	2683	2516	178	167
origSeq_82-seq10_71	57	2869	2812	5507	8339	2832	2638	174	194
origSeq_83-seq4_54	2363	14316	11953	4	11909	11905	11229	724	676
origSeq_83-seq9_69	11	5917	5906	5343	11214	5871	5527	379	344
origSeq_83-seq7_51	12442	15447	3005	10	3044	3034	2819	186	215
origSeq_83-seq6_78	14021	15447	1426	3	1415	1412	1339	87	73
origSeq_84-seq1_91	10715	15457	4742	5	4695	4690	4399	343	291
origSeq_84-seq9_36	7725	14958	7233	25	7254	7229	6760	473	469
origSeq_84-seq4_55	11145	15427	4282	0	4292	4292	3992	290	300
origSeq_84-seq6_65	11174	15469	4295	5	4328	4323	4042	253	281
origSeq_84-seq10_3	12	1684	1672	2	1654	1652	1549	123	103
origSeq_85-seq7_82	4	10757	10753	6996	17734	10738	10066	687	672
origSeq_85-seq10_87	59	5905	5846	10047	15891	5844	5493	353	351
origSeq_87-seq8_87	5321	10747	5426	16	5530	5514	5143	283	371
origSeq_87-seq9_87	1	1374	1373	8229	9609	1380	1293	80	87
origSeq_88-seq8_68	2828	10767	7939	0	7915	7915	7465	474	450
origSeq_89-seq3_56	2926	10552	7626	1	7636	7635	7181	445	454
origSeq_90-seq7_37	9237	14376	5139	4	5347	5343	4852	287	491
origSeq_91-seq6_44	13018	14696	1678	0	1666	1666	1580	98	86
origSeq_92-seq4_86	3	5584	5581	10905	16456	5551	5211	370	340
origSeq_93-seq4_89	2	13043	13041	6333	19349	13016	12275	766	741
origSeq_93-seq6_33	4033	6665	2632	11	2650	2639	2480	152	159
origSeq_93-seq7_93	12279	13043	764	6	781	775	723	41	52
origSeq_94-seq3_71	23	4346	4323	7416	11684	4268	4049	274	219
origSeq_94-seq10_67	4128	5787	1659	40	1701	1661	1543	116	118
origSeq_94-seq10_25	13340	14202	862	1	855	854	800	62	54
origSeq_95-seq4_27	7487	11357	3870	5	3917	3912	3678	192	234
origSeq_95-seq2_24	1613	4411	2798	1	2782	2781	2608	190	173
origSeq_95-seq7_41	7580	11310	3730	15	3786	3771	3531	199	240
origSeq_95-seq6_73	8453	11361	2908	21	2904	2883	2697	211	186
origSeq_96-seq8_37	1761	6932	5171	4	5193	5189	4851	320	338
origSeq_97-seq3_53	10045	14649	4604	1	4618	4617	4347	257	270
origSeq_97-seq2_15	8917	9530	613	4	623	619	589	24	30
origSeq_98-seq5_33	0	2243	2243	4613	6867	2254	2123	120	131
origSeq_99-seq9_99	22	24711	24689	21683	46415	24732	23084	1605	1648
origSeq_99-seq3_15	23389	24708	1319	5	1313	1308	1233	86	75
seq9_17-seq9_54	0	1482	1482	1932	3433	1501	1406	76	95
seq9_31-seq9_78	2501	4344	1843	20	1850	1830	1736	107	94
seq9_40-seq9_72	1490	4576	3086	4	3045	3041	2868	218	173
seq9_57-seq9_98	0	5864	5864	16907	22800	5893	5547	317	346
seq9_61-seq9_81	1	1711	1710	3749	5462	1713	1630	80	83
seq9_63-seq9_95	4	1546	1542	9733	11315	1582	1464	78	118
seq7_23-seq9_90	357	4100	3743	4661	8406	3745	3475	268	270
seq7_24-seq7_7	591	2926	2335	8	2341	2333	2193	142	140
seq7_38-seq8_82	1	3872	3871	3076	6931	3855	3597	274	258
seq7_47-seq9_37	47	4238	4191	1499	5668	4169	3911	280	258
seq7_48-seq7_91	23	2327	2304	2859	5185	2326	2176	128	150
seq7_50-seq8_69	5	7653	7648	3662	11282	7620	7125	523	495
seq7_56-seq9_40	5915	10394	4479	10	4506	4496	4203	276	293
seq7_56-seq8_14	7193	11307	4114	0	4174	4174	3868	246	306
seq7_56-seq9_72	7429	11324	3895	37	3904	3867	3608	287	259
seq7_57-seq9_92	31	3926	3895	4589	8496	3907	3621	274	286
seq7_58-seq9_68	2932	8958	6026	0	6074	6074	5648	378	426
seq7_74-seq9_35	4362	7079	2717	44	2773	2729	2530	187	199
seq7_78-seq9_49	577	6834	6257	5	6242	6237	5837	420	400
seq7_81-seq8_75	1453	13834	12381	365	12695	12330	11518	863	812
seq7_85-seq8_28	15783	22095	6312	33	6278	6245	5840	472	405
seq7_86-seq7_94	1	2680	2679	35781	38480	2699	2543	136	156
seq7_88-seq8_79	2	9195	9193	1577	10733	9156	8584	609	572
seq7_89-seq9_67	15	8578	8563	2163	10853	8690	8030	533	660
seq7_90-seq9_78	7592	22805	15213	44	15312	15268	14195	1018	1073
seq7_90-seq9_31	5167	9378	4211	78	4349	4271	3942	269	329
seq7_91-seq9_98	3889	27141	23252	9	23350	23341	21667	1585	1674
seq7_91-seq8_51	1	7013	7012	762	7783	7021	6556	456	465
seq7_91-seq9_57	20723	26591	5868	0	5856	5856	5455	413	401
seq7_92-seq8_4	23751	25587	1836	13	1828	1815	1713	123	102
seq8_14-seq9_72	333	4265	3932	127	3977	3850	3614	318	236
seq8_15-seq8_67	10	1147	1137	6388	7538	1150	1083	54	67
seq8_15-seq8_57	1	1147	1146	7128	8278	1150	1084	62	66
seq8_31-seq8_90	6	5403	5397	4661	10094	5433	5097	300	336
seq8_31-seq8_88	2632	5399	2767	0	2766	2766	2604	163	162
seq8_36-seq8_91	3	2396	2393	915	3326	2411	2248	145	163
seq8_40-seq9_98	51	6040	5989	34273	40229	5956	5556	433	400
seq8_44-seq8_93	10	9468	9458	1080	10525	9445	8919	539	526
seq8_45-seq8_87	0	7352	7352	9017	16799	7782	6990	362	792
seq8_51-seq9_98	4661	7767	3106	9	3120	3111	2895	211	216
seq8_57-seq8_67	739	9769	9030	2	9029	9027	8533	497	494
seq8_73-seq8_78	524	1682	1158	21	1151	1130	1085	73	45
seq8_88-seq8_90	0	9432	9432	7307	16747	9440	8928	504	512
seq3_3-seq7_84	6	1833	1827	4381	6188	1807	1697	130	110
seq3_7-seq5_99	0	921	921	18640	19577	937	871	50	66
seq3_8-seq5_95	5	2417	2412	6125	8497	2372	2238	174	134
seq3_9-seq7_63	30	1260	1230	3922	5141	1219	1149	81	70
seq3_11-seq5_50	46	1488	1442	84	1516	1432	1351	91	81
seq3_12-seq8_91	0	2979	2979	21425	24499	3074	2848	131	226
seq3_13-seq5_80	56	1133	1077	2071	3122	1051	992	85	59
seq3_14-seq5_71	18	2780	2762	4363	7129	2766	2594	168	172
seq3_15-seq9_99	5	4103	4098	45113	49192	4079	3807	291	272
seq3_19-seq4_24	446	1974	1528	0	1486	1486	1394	134	92
seq3_23-seq4_41	566	4857	4291	8	4368	4360	4078	213	282
seq3_23-seq5_97	17	4424	4407	8649	13080	4431	4135	272	296
seq3_27-seq4_63	2168	6498	4330	3	4327	4324	4073	257	251
seq3_28-seq5_44	843	3973	3130	0	3094	3094	2923	207	171
seq3_32-seq6_64	1	1660	1659	88	1728	1640	1560	99	80
seq3_32-seq8_57	33	1660	1627	6457	8083	1626	1524	103	102
seq3_32-seq8_15	749	1638	889	55	946	891	846	43	45
seq3_37-seq8_62	2	3882	3880	5594	9528	3934	3677	203	257
seq3_40-seq7_91	31	5570	5539	4499	9998	5499	5197	342	302
seq3_40-seq9_98	75	5508	5433	660	6080	5420	5091	342	329
seq3_40-seq8_51	74	2525	2451	5316	7754	2438	2288	163	150
seq3_41-seq3_94	6	6081	6075	1942	7897	5955	5663	412	292
seq3_41-seq3_69	13	4515	4502	6367	10875	4508	4241	261	267
seq3_41-seq8_35	4055	6088	2033	1	2008	2007	1908	125	99
seq3_43-seq9_55	2247	7325	5078	3	5093	5090	4761	317	329
seq3_47-seq7_68	3012	4906	1894	1	1891	1890	1780	114	110
seq3_48-seq5_17	0	660	660	5874	6552	678	629	31	49
seq3_50-seq7_80	678	5859	5181	2	5183	5181	4861	320	320
seq3_50-seq8_53	3	951	948	4635	5604	969	903	45	66
seq3_52-seq9_44	3605	6142	2537	38	2604	2566	2406	131	160
seq3_54-seq3_89	1125	11356	10231	1	10289	10288	9635	596	653
seq3_54-seq8_92	17	11356	11339	4124	15474	11350	10581	758	769
seq3_54-seq5_1	1161	2915	1754	17	1783	1766	1665	89	101
seq3_55-seq6_89	2161	3443	1282	6	1302	1296	1203	79	93
seq3_58-seq5_43	9	1364	1355	4065	5418	1353	1273	82	80
seq3_63-seq7_70	3548	9300	5752	2	5743	5741	5371	381	370
seq3_64-seq9_29	5	4678	4673	1318	6000	4682	4358	315	324
seq3_65-seq9_89	5	13967	13962	1186	14997	13811	12923	1039	888
seq3_66-seq9_74	99	2113	2014	670	2696	2026	1903	111	123
seq3_66-seq6_76	57	1499	1442	2366	3810	1444	1359	83	85
seq3_68-seq7_46	8	2781	2773	1658	4437	2779	2606	167	173
seq3_68-seq6_24	6	1341	1335	3745	5072	1327	1237	98	90
seq3_69-seq3_94	4468	10874	6406	30	6367	6337	5979	427	358
seq3_69-seq9_80	1566	6341	4775	0	4730	4730	4437	338	293
seq3_69-seq7_67	6	1219	1213	9916	11135	1219	1126	87	93
seq3_70-seq3_93	0	9724	9724	11039	20753	9714	9175	549	539
seq3_71-seq7_78	137	3116	2979	18381	21384	3003	2803	176	200
seq3_73-seq5_83	10357	12565	2208	2	2206	2204	2076	132	128
seq3_74-seq8_74	13	3606	3593	3012	6649	3637	3378	215	259
seq3_77-seq5_88	17	9917	9900	3040	13008	9968	9320	580	648
seq3_77-seq5_92	6	8634	8628	13236	21907	8671	8123	505	548
seq3_77-seq9_42	2	2957	2955	4077	7069	2992	2771	184	221
seq3_79-seq6_82	9539	13046	3507	0	3568	3568	3339	168	229
seq3_80-seq5_21	15752	18110	2358	6	2382	2376	2217	141	159
seq3_80-seq8_17	17008	18074	1066	43	1092	1049	998	68	51
seq3_82-seq5_81	20	4588	4568	1961	6527	4566	4295	273	271
seq3_83-seq8_47	2	2053	2051	9055	11106	2051	1934	117	117
seq3_84-seq4_56	5	3277	3272	2651	5881	3230	3044	228	186
seq3_85-seq6_77	4693	16173	11480	3	11517	11514	10801	679	713
seq3_88-seq8_22	24	3995	3971	13	4013	4000	3715	256	285
seq3_89-seq8_92	16	12883	12867	5247	18072	12825	12015	852	810
seq3_89-seq5_1	22	1791	1769	2	1792	1790	1664	105	126
seq3_90-seq6_91	4904	15094	10190	4	10179	10175	9542	648	633
seq3_91-seq5_13	1055	5231	4176	4	4247	4243	3960	216	283
seq3_91-seq4_93	6	3341	3335	17491	20859	3368	3152	183	216
seq3_92-seq9_85	10192	24797	14605	15	14633	14618	13718	887	900
seq3_92-seq6_45	21510	24859	3349	1	3344	3343	3167	182	176
seq3_94-seq8_35	5903	12974	7071	1	7053	7052	6636	435	416
seq3_94-seq4_2	12584	14443	1859	10	1877	1867	1755	104	112
